file,href
Public health and international epidemiology for radiology,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85077976956&origin=inward
Flexible Printed Active Antenna for Digital Television Reception,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85060936020&origin=inward
Parametric study of hydrogen production via sorption enhanced steam methane reforming in a circulating fluidized bed riser,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85052201238&origin=inward
Superhydrophobic coating from fluoroalkylsilane modified natural rubber encapsulated SiO 2 composites for self-driven oil/water separation,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85051498032&origin=inward
Electrochemical impedance-based DNA sensor using pyrrolidinyl peptide nucleic acids for tuberculosis detection,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85050678366&origin=inward
Evaluation of outsourcing transportation contract using simulation and design of experiment Ocena kontraktów outsourcingowych w transporcie z wykorzystaniem symulacji i projektu eksperymentu,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059846549&origin=inward
The phenotypic and mutational spectrum of Thai female patients with ornithine transcarbamylase deficiency,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85053455291&origin=inward
External beam radiotherapy in the treatment of painful bone metastases,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85078621193&origin=inward
Predicting judicial decisions of criminal cases from Thai supreme court using bi-directional gru with attention mechanism,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85061529820&origin=inward
PH Variation as a Simple and Selective Pathway for Obtaining Nanoparticle or Nanocapsule Polysaccharides,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85058878790&origin=inward
Effect of Zr addition on the microstructure and tribological property of the anodization of Ti-6Al-4V alloy,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85053749794&origin=inward
Applying Text Mining for Classifying Disease from Symptoms,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85060970184&origin=inward
Classification of advertisement text on Facebook using synthetic minority over-sampling technique,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85061895439&origin=inward
Detecting Radio AGN Signatures in Red Geysers,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059849496&origin=inward
Organic agriculture education in Thai Universities: National trends and student perceptions,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059562771&origin=inward
"A new species of Ceropegia (Asclepiadoideae, Apocynaceae) from eastern Thailand",https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059516216&origin=inward
Observation of Weakened V-V Dimers in the Monoclinic Metallic Phase of Strained VO2,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059160526&origin=inward
Heterostructured d-Ti 3 C 2 /TiO 2/ g-C 3 N 4 Nanocomposites with Enhanced Visible-Light Photocatalytic Hydrogen Production Activity,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85058392278&origin=inward
Performance comparison of different cavitation reactors for biodiesel production via transesterification of palm oil,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85054885984&origin=inward
"The dynamic linkage among the size, growth and profitability of listed companies in the ASEAN-4 countries",https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85063732788&origin=inward
Different natures of sub-gap states in 135-CIGS/112-CIGS and 112-CIGS/135-CIGS heterostructures investigated by photoluminescence technique,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059484399&origin=inward
Optical properties of CsI:Tl crystals grown using different precursors purities,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059480239&origin=inward
CIGS thin film solar cells with graded-band gap fabricated by CIS/CGS bilayer and CGS/CIS/CGS trilayer systems,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059476683&origin=inward
Machine Learning system mimicking student's choice in Particle Data Analysis laboratory activity,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059474991&origin=inward
Effects of global and local rewiring on SIS epidemic adaptive networks,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059473929&origin=inward
Glucose sensing characterization of non-enzymatic nickel film and nickel foam electrodes in sodium hydroxide solution,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059465253&origin=inward
Shielding the Earth Magnetic Field using Spherical Coils,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059463569&origin=inward
